id,rooms,bathrooms,m2,price,address,url,is_sent
28892425,1,1,35,11000,"Monrovia, Col. Portales Sur, Benito Juárez, DF / CDMX, México, C.P. 03300, ",https://propiedades.com/inmuebles/departamento-en-renta-monrovia-portales-sur-df-28892425#pagina=1&tipos=departamentos-renta&area=portales&pos=2,
28743082,3,1,75,17500,"Eje central, Col. Portales Sur, Benito Juárez, DF / CDMX, México, C.P. 03300, ",https://propiedades.com/inmuebles/departamento-en-renta-eje-central-portales-sur-df-28743082#pagina=1&tipos=departamentos-renta&area=portales&pos=8,
28783452,2,1,98,16000,"Alhambra, Col. Portales Norte, Benito Juárez, DF / CDMX, México, C.P. 03303, ",https://propiedades.com/inmuebles/departamento-en-renta-alhambra-portales-norte-df-28783452#pagina=1&tipos=departamentos-renta&area=portales&pos=9,
28922213,2,2,80,9000,"Municipio Libre #120, Col. Portales Sur, Benito Juárez, DF / CDMX, México, C.P. 03300, ",https://propiedades.com/inmuebles/departamento-en-renta-municipio-libre-120-portales-sur-df-28922213#pagina=1&tipos=departamentos-renta&area=portales&pos=14,
26342238,2,2,65,16000,"Calzada de Tlalpan  #1461, Col. Portales Norte, Benito Juárez, DF / CDMX, México, C.P. 03303, ",https://propiedades.com/inmuebles/departamento-en-renta-calzada-de-tlalpan-1461-portales-norte-df-26342238#pagina=1&tipos=departamentos-renta&area=portales&pos=17,
6602549,2,1,100,16500,"av division del norte #1936Int. 8, Col. Portales Norte, Benito Juárez, DF / CDMX, México, C.P. 03303, ",https://propiedades.com/inmuebles/departamento-en-renta-av-division-del-norte-1936-portales-norte-df-6602549#pagina=1&tipos=departamentos-renta&area=portales&pos=18,
28743841,2,1,65,14000,"Av. de los Montes #40B, Col. Portales Oriente, Benito Juárez, DF / CDMX, México, C.P. 03570, ",https://propiedades.com/inmuebles/departamento-en-renta-av-de-los-montes-40b-portales-oriente-df-28743841#pagina=1&tipos=departamentos-renta&area=portales&pos=20,
28239848,2,2,50,16000," , Col. Portales Sur, Benito Juárez, DF / CDMX, México, C.P. 03300, ",https://propiedades.com/inmuebles/departamento-en-renta-portales-sur-df-28239848#pagina=1&tipos=departamentos-renta&area=portales&pos=21,
28668136,2,1,75,14500,"Eje central, Col. Portales Sur, Benito Juárez, DF / CDMX, México, C.P. 03300, ",https://propiedades.com/inmuebles/departamento-en-renta-eje-central-portales-sur-df-28668136#pagina=1&tipos=departamentos-renta&area=portales&pos=22,
27507844,1,1,50,450,"Eje Central Lazaro Cardenas #807, Col. Portales Sur, Benito Juárez, DF / CDMX, México, C.P. 03300, ",https://propiedades.com/inmuebles/departamento-en-renta-eje-central-lazaro-cardenas-807-portales-sur-df-27507844#pagina=2&tipos=departamentos-renta&area=portales&pos=1,
28940696,2,1,Saratoga,7500,,https://propiedades.com/inmuebles/departamento-en-renta-saratoga-portales-sur-df-28940696#pagina=2&tipos=departamentos-renta&area=portales&pos=6,
28532905,2,1,49,15000," , Col. Portales Sur, Benito Juárez, DF / CDMX, México, C.P. 03300, ",https://propiedades.com/inmuebles/departamento-en-renta-portales-sur-df-28532905#pagina=2&tipos=departamentos-renta&area=portales&pos=8,
28722959,2,2,75,17000,"Tokio #987, Col. Portales Sur, Benito Juárez, DF / CDMX, México, C.P. 03300, ",https://propiedades.com/inmuebles/departamento-en-renta-tokio-987-portales-sur-df-28722959#pagina=2&tipos=departamentos-renta&area=portales&pos=11,
28926674,2,1,44,8500,"Avenida Emiliano Zapata #156, Col. Portales Sur, Benito Juárez, DF / CDMX, México, C.P. 03300, ",https://propiedades.com/inmuebles/departamento-en-renta-avenida-emiliano-zapata-156-portales-sur-df-28926674#pagina=2&tipos=departamentos-renta&area=portales&pos=15,
25345621,2,1,80,15000,"CALZADA DE TLALPAN, Col. Portales Norte, Benito Juárez, DF / CDMX, México, C.P. 03303, ",https://propiedades.com/inmuebles/departamento-en-renta-calzada-de-tlalpan-portales-norte-df-25345621#pagina=3&tipos=departamentos-renta&area=portales&pos=6,
28509303,3,2,120,16000,"Alhambra 218 #218, Col. Portales Sur, Benito Juárez, DF / CDMX, México, C.P. 03300, ",https://propiedades.com/inmuebles/departamento-en-renta-alhambra-218-218-portales-sur-df-28509303#pagina=3&tipos=departamentos-renta&area=portales&pos=8,
28583605,2,1,80,13500,"Calzada de Tlalpan, Col. Portales Oriente, Benito Juárez, DF / CDMX, México, C.P. 03570, ",https://propiedades.com/inmuebles/departamento-en-renta-calzada-de-tlalpan-portales-oriente-df-28583605#pagina=3&tipos=departamentos-renta&area=portales&pos=9,
27693793,2,1,80,13500,"CALZADA DE TLALPAN, Col. Portales Norte, Benito Juárez, DF / CDMX, México, C.P. 03303, ",https://propiedades.com/inmuebles/departamento-en-renta-calzada-de-tlalpan-portales-norte-df-27693793#pagina=3&tipos=departamentos-renta&area=portales&pos=11,
